State,District,Party,Office Room,Phone,fist_name,last_name,full_name,committee_1,committee_2,committee_3,committee_4
Alabama,1st,R,1330 LHOB,(202) 225-4931,Carl,Jerry,Carl Jerry,Appropriations,Natural Resources,,
Alabama,2nd,R,1504 LHOB,(202) 225-2901,Moore,Barry,Moore Barry,Agriculture,Judiciary,,
Alabama,3rd,R,2469 RHOB,(202) 225-3261,Rogers,Mike,Rogers Mike,Armed Services,,,
Alabama,4th,R,266 CHOB,(202) 225-4876,Aderholt,Robert,Aderholt Robert,Appropriations,,,
Alabama,5th,R,1337 LHOB,(202) 225-4801,Strong,Dale,Strong Dale,Armed Services,Homeland Security,"Science, Space, and Technology",
Alabama,6th,R,170 CHOB,(202) 225-4921,Palmer,Gary,Palmer Gary,Oversight and Accountability,Energy and Commerce,,
Alabama,7th,D,1035 LHOB,(202) 225-2665,Sewell,Terri,Sewell Terri,Armed Services,House Administration,Joint Committee of Congress on the Library,Ways and Means
Alaska,At Large,D,153 CHOB,(202) 225-5765,Peltola,Mary,Peltola Mary,Natural Resources,Transportation and Infrastructure,,
American Samoa,Delegate,R,2001 RHOB,(202) 225-8577,Radewagen,Aumua Amata,Radewagen Aumua Amata,Foreign Affairs,Natural Resources,Veterans' Affairs,
Arizona,1st,R,460 CHOB,(202) 225-2190,Schweikert,David,Schweikert David,Ways and Means,,,
Arizona,2nd,R,1229 LHOB,(202) 225-3361,Crane,Elijah,Crane Elijah,Homeland Security,Small Business,Veterans' Affairs,
Arizona,3rd,D,1114 LHOB,(202) 225-4065,Gallego,Ruben,Gallego Ruben,Armed Services,Natural Resources,,
Arizona,4th,D,207 CHOB,(202) 225-9888,Stanton,Greg,Stanton Greg,Foreign Affairs,Transportation and Infrastructure,,
Arizona,5th,R,252 CHOB,(202) 225-2635,Biggs,Andy,Biggs Andy,Oversight and Accountability,Judiciary,,
Arizona,6th,R,1429 LHOB,(202) 225-2542,Ciscomani,Juan,Ciscomani Juan,Appropriations,Veterans' Affairs,,
Arizona,7th,D,1203 LHOB,(202) 225-2435,Grijalva,Raul,Grijalva Raul,Education and the Workforce,Natural Resources,,
Arizona,8th,R,1214 LHOB,(202) 225-4576,Lesko,Debbie,Lesko Debbie,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
Arizona,9th,R,2057 RHOB,(202) 225-2315,Gosar,Paul,Gosar Paul,Oversight and Accountability,Natural Resources,,
Arkansas,1st,R,2422 RHOB,(202) 225-4076,Crawford,Eric,Crawford Eric,Agriculture,Intelligence,Transportation and Infrastructure,"Science, Space, and Technology"
Arkansas,2nd,R,1533 LHOB,(202) 225-2506,Hill,J.,Hill J.,Financial Services,Foreign Affairs,Intelligence,
Arkansas,3rd,R,2412 RHOB,(202) 225-4301,Womack,Steve,Womack Steve,Appropriations,,,
Arkansas,4th,R,202 CHOB,(202) 225-3772,Westerman,Bruce,Westerman Bruce,Natural Resources,Transportation and Infrastructure,,
California,1st,R,408 CHOB,(202) 225-3076,LaMalfa,Doug,LaMalfa Doug,Agriculture,Natural Resources,Transportation and Infrastructure,
California,2nd,D,2445 RHOB,(202) 225-5161,Huffman,Jared,Huffman Jared,Natural Resources,Transportation and Infrastructure,,
California,3rd,R,1032 LHOB,(202) 225-2523,Kiley,Kevin,Kiley Kevin,Education and the Workforce,Judiciary,,
