senator,committee_1,committee_2,committee_3,committee_4,committee_5,committee_6,committee_7,committee_8,first_name,last_name,full_name
"Baldwin, Tammy",Committee on Appropriations,"Committee on Commerce, Science, and Transportation","Committee on Health, Education, Labor, and Pensions",,,,,,Tammy,Baldwin,Tammy Baldwin
"Barrasso, John",Committee on Energy and Natural Resources,Committee on Finance,Committee on Foreign Relations,,,,,,John,Barrasso,John Barrasso
"Bennet, Michael F.","Committee on Agriculture, Nutrition, and Forestry",Committee on Finance,Committee on Rules and Administration,Select Committee on Intelligence,,,,,Michael,Bennet,Michael F. Bennet
"Blackburn, Marsha","Committee on Commerce, Science, and Transportation",Committee on Finance,Committee on the Judiciary,Committee on Veterans' Affairs,,,,,Marsha,Blackburn,Marsha Blackburn
"Blumenthal, Richard",Commission on Security and Cooperation in Europe,Committee on Armed Services,Committee on Homeland Security and Governmental Affairs,Committee on the Judiciary,Committee on Veterans' Affairs,Special Committee on Aging,United States Senate Caucus on International Narcotics Control,,Richard,Blumenthal,Richard Blumenthal
"Booker, Cory A.","Committee on Agriculture, Nutrition, and Forestry",Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Committee on the Judiciary,,,,,Cory,Booker,Cory A. Booker
"Boozman, John",Commission on Security and Cooperation in Europe,"Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Environment and Public Works,Committee on Veterans' Affairs,,,,John,Boozman,John Boozman
"Braun, Mike","Committee on Agriculture, Nutrition, and Forestry","Committee on Health, Education, Labor, and Pensions",Committee on the Budget,Special Committee on Aging,,,,,Mike,Braun,Mike Braun
"Britt, Katie Boyd",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs",Committee on Rules and Administration,,,,,,Katie,Britt,Katie Boyd Britt
"Brown, Sherrod","Committee on Agriculture, Nutrition, and Forestry","Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Veterans' Affairs,,,,,Sherrod,Brown,Sherrod Brown
"Budd, Ted",Committee on Armed Services,"Committee on Commerce, Science, and Transportation","Committee on Health, Education, Labor, and Pensions",Committee on Small Business and Entrepreneurship,,,,,Ted,Budd,Ted Budd
"Butler, Laphonza R.","Committee on Banking, Housing, and Urban Affairs",Committee on Homeland Security and Governmental Affairs,Committee on Rules and Administration,Committee on the Judiciary,,,,,Laphonza,Butler,Laphonza R. Butler
"Cantwell, Maria","Committee on Commerce, Science, and Transportation",Committee on Energy and Natural Resources,Committee on Finance,Committee on Indian Affairs,Committee on Small Business and Entrepreneurship,Joint Committee on Taxation,,,Maria,Cantwell,Maria Cantwell
"Capito, Shelley Moore",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,Committee on Rules and Administration,,,,,Shelley,Capito,Shelley Moore Capito
"Cardin, Benjamin L.",Commission on Security and Cooperation in Europe,Committee on Environment and Public Works,Committee on Finance,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,,,,Benjamin,Cardin,Benjamin L. Cardin
"Carper, Thomas R.",Committee on Environment and Public Works,Committee on Finance,Committee on Homeland Security and Governmental Affairs,,,,,,Thomas,Carper,Thomas R. Carper
"Casey, Robert P., Jr.",Committee on Finance,"Committee on Health, Education, Labor, and Pensions",Select Committee on Intelligence,Special Committee on Aging,,,,,Robert,Casey,Robert P. Casey
"Cassidy, Bill",Committee on Energy and Natural Resources,Committee on Finance,"Committee on Health, Education, Labor, and Pensions",Committee on Veterans' Affairs,,,,,Bill,Cassidy,Bill Cassidy
"Collins, Susan M.",Committee on Appropriations,"Committee on Health, Education, Labor, and Pensions",Select Committee on Intelligence,,,,,,Susan,Collins,Susan M. Collins
"Coons, Christopher A.",Committee on Appropriations,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Committee on the Judiciary,Select Committee on Ethics,,,,Christopher,Coons,Christopher A. Coons
"Cornyn, John",Committee on Finance,Committee on the Judiciary,Select Committee on Intelligence,United States Senate Caucus on International Narcotics Control,,,,,John,Cornyn,John Cornyn
