disclosure_date,transaction_date,ticker,type,amount,name,asset_description,state,party,industry,sector,amount_average
2020-04-01,2020-02-20,MSFT,purchase,"$250,001 - $500,000",Nancy Pelosi,Microsoft Corporation,CA,Democrat,Computer Software: Prepackaged Software,Technology,375000.5
2020-04-01,2020-02-21,MSFT,purchase,"$500,001 - $1,000,000",Nancy Pelosi,Microsoft Corporation,CA,Democrat,Computer Software: Prepackaged Software,Technology,750000.5
2020-04-01,2020-02-27,GOOGL,purchase,"$500,001 - $1,000,000",Nancy Pelosi,Alphabet Inc. - Class A,CA,Democrat,"Computer Software: Programming, Data Processing",Technology,750000.5
2020-04-01,2020-02-28,MSFT,purchase,"$100,001 - $250,000",Nancy Pelosi,Microsoft Corporation,CA,Democrat,Computer Software: Prepackaged Software,Technology,175000.5
2020-07-20,2020-06-12,PYPL,purchase,"$500,001 - $1,000,000",Nancy Pelosi,"PayPal Holdings, Inc.",CA,Democrat,Business Services,Miscellaneous,750000.5
2020-07-20,2020-06-12,PYPL,purchase,"$500,001 - $1,000,000",Nancy Pelosi,"PayPal Holdings, Inc.",CA,Democrat,Business Services,Miscellaneous,750000.5
2020-07-20,2020-06-18,NFLX,purchase,"$1,000,001 - $5,000,000",Nancy Pelosi,"Netflix, Inc.",CA,Democrat,Consumer Electronics/Video Chains,Consumer Services,3000000.5
2020-07-20,2020-06-18,CRM,purchase,"$1,000,001 - $5,000,000",Nancy Pelosi,Salesforce.com Inc,CA,Democrat,Computer Software: Prepackaged Software,Technology,3000000.5
2020-07-20,2020-06-24,PYPL,purchase,"$250,001 - $500,000",Nancy Pelosi,"PayPal Holdings, Inc.",CA,Democrat,Business Services,Miscellaneous,375000.5
2020-07-20,2020-06-24,AXP,purchase,"$100,001 - $250,000",Nancy Pelosi,American Express Company,CA,Democrat,Finance: Consumer Services,Finance,175000.5
2020-10-04,2020-09-03,CRWD,purchase,"$500,001 - $1,000,000",Nancy Pelosi,"CrowdStrike Holdings, Inc. - Class A",CA,Democrat,Computer Software: Prepackaged Software,Technology,750000.5
2021-01-21,2020-12-22,AB,purchase,"$500,001 - $1,000,000",Nancy Pelosi,"AllianceBernstein Holding plc Purchsed 20,000 shares",CA,Democrat,Investment Managers,Finance,750000.5
2021-03-09,2021-02-18,AB,purchase,"$500,001 - $1,000,000",Nancy Pelosi,"AllianceBerstein Holding LP. Purchased 15,000 shares.",CA,Democrat,Investment Managers,Finance,750000.5
2021-03-09,2021-02-23,AB,purchase,"$500,001 - $1,000,000",Nancy Pelosi,"AllianceBerstein Holding LP. Purchased 25,000 shares.",CA,Democrat,Investment Managers,Finance,750000.5
2021-04-09,2021-03-10,RBLX,purchase,"$500,001 - $1,000,000",Nancy Pelosi,Roblox Corporation - purchase 10K shares,CA,Democrat,,,750000.5
2021-07-02,2021-05-21,AAPL,purchase,"$100,001 - $250,000",Nancy Pelosi,Apple Inc,CA,Democrat,Computer Manufacturing,Technology,175000.5
2021-07-02,2021-05-21,AMZN,purchase,"$500,001 - $1,000,000",Nancy Pelosi,Amazon.com Inc,CA,Democrat,Catalog/Specialty Distribution,Consumer Services,750000.5
2021-07-02,2021-06-03,NVDA,purchase,"$1,000,001 - $5,000,000",Nancy Pelosi,NVIDIA Corporation,CA,Democrat,Semiconductors,Technology,3000000.5
2021-07-02,2021-06-18,GOOGL,purchase,"$1,000,001 - $5,000,000",Nancy Pelosi,Alphabet Inc - Class A,CA,Democrat,"Computer Software: Programming, Data Processing",Technology,3000000.5
2021-08-20,2021-07-23,NVDA,purchase,"$500,001 - $1,000,000",Nancy Pelosi,"NVIDIA Corporation - purchased 5,000 shares",CA,Democrat,Semiconductors,Technology,750000.5
2021-12-29,2021-12-17,GOOG,purchase,"$500,001 - $1,000,000",Nancy Pelosi,Alphabet Inc - Class C Capital - 10 CALL opts with strike of $2000 expiry 9/16/22,CA,Democrat,"Computer Software: Programming, Data Processing",Technology,750000.5
2021-12-29,2021-12-21,MU,purchase,"$250,001 - $500,000",Nancy Pelosi,Micron Technology Inc - 100 CALL opts with strike of $50 expiry 9/16/22,CA,Democrat,Semiconductors,Technology,375000.5
2022-01-12,2021-12-30,AAPL,sale_partial,"$500,001 - $1,000,000",Nancy Pelosi,Apple Inc - Contribution of 3K shares held personally to Trinity College,CA,Democrat,Computer Manufacturing,Technology,750000.5
2022-01-12,2021-12-30,AAPL,sale_partial,"$500,001 - $1,000,000",Nancy Pelosi,Apple Inc - Contribution of 3K shares held personally to the Paul F Pelosi Endowed Fund Georgetown University,CA,Democrat,Computer Manufacturing,Technology,750000.5
2022-02-28,2022-01-27,AB,purchase,"$250,001 - $500,000",Nancy Pelosi,AllianceBerstein Holding LP - Purchased 10K units,CA,Democrat,Investment Managers,Finance,375000.5
2022-07-26,2022-07-26,NVDA,sale_full,"$1,000,001 - $5,000,000",Nancy Pelosi,"NVIDIA Corporation - Sold 25K shares at 165.05 for total loss of $341,365",CA,Democrat,Semiconductors,Technology,3000000.5
2023-01-12,2022-12-20,GOOGL,purchase,"$500,001 - $1,000,000",Nancy Pelosi,Alphabet Inc- Class A - Sold 10K shares,CA,Democrat,"Computer Software: Programming, Data Processing",Technology,750000.5
2023-01-12,2022-12-21,GOOGL,purchase,"$500,001 - $1,000,000",Nancy Pelosi,Alphabet Inc- Class A - Sold 10K shares,CA,Democrat,"Computer Software: Programming, Data Processing",Technology,750000.5
2023-01-12,2022-12-21,PYPL,sale_partial,"$250,001 - $500,000",Nancy Pelosi,"PayPal Holdings Inc - Sold 5K shares at avg price of 69.10 for total loss of $424,313",CA,Democrat,Business Services,Miscellaneous,375000.5
2023-01-12,2022-12-28,PYPL,sale_partial,"$250,001 - $500,000",Nancy Pelosi,"PayPal Holdings Inc - Sold 5K shares at avg price of 67.77 for total loss of $429,938",CA,Democrat,Business Services,Miscellaneous,375000.5
2023-01-12,2022-12-28,GOOGL,sale_partial,"$500,001 - $1,000,000",Nancy Pelosi,Alphabet Inc- Class A - Sold 10K shares,CA,Democrat,"Computer Software: Programming, Data Processing",Technology,750000.5
2023-01-12,2022-12-28,AB,sale_partial,"$500,001 - $1,000,000",Nancy Pelosi,"Alliance Bernstein Holding LP Units - Sold 20K at average price of 32.95 for $11,510 loss",CA,Democrat,Investment Managers,Finance,750000.5
