State,District,Name,Party,Office Room,Phone,Committee 1,Committee 2,Committee 3,Committee 4
Alabama,1st,"Carl, Jerry",R,1330 LHOB,(202) 225-4931,Appropriations,Natural Resources,,
Alabama,2nd,"Moore, Barry",R,1504 LHOB,(202) 225-2901,Agriculture,Judiciary,,
Alabama,3rd,"Rogers, Mike",R,2469 RHOB,(202) 225-3261,Armed Services,,,
Alabama,4th,"Aderholt, Robert",R,266 CHOB,(202) 225-4876,Appropriations,,,
Alabama,5th,"Strong, Dale",R,1337 LHOB,(202) 225-4801,Armed Services,Homeland Security,"Science, Space, and Technology",
Alabama,6th,"Palmer, Gary",R,170 CHOB,(202) 225-4921,Oversight and Accountability,Energy and Commerce,,
Alabama,7th,"Sewell, Terri",D,1035 LHOB,(202) 225-2665,Armed Services,House Administration,Joint Committee of Congress on the Library,Ways and Means
Alaska,At Large,"Peltola, Mary",D,153 CHOB,(202) 225-5765,Natural Resources,Transportation and Infrastructure,,
American Samoa,Delegate,"Radewagen, Aumua Amata",R,2001 RHOB,(202) 225-8577,Foreign Affairs,Natural Resources,Veterans' Affairs,
Arizona,1st,"Schweikert, David",R,460 CHOB,(202) 225-2190,Ways and Means,,,
Arizona,2nd,"Crane, Elijah",R,1229 LHOB,(202) 225-3361,Homeland Security,Small Business,Veterans' Affairs,
Arizona,3rd,"Gallego, Ruben",D,1114 LHOB,(202) 225-4065,Armed Services,Natural Resources,,
Arizona,4th,"Stanton, Greg",D,207 CHOB,(202) 225-9888,Foreign Affairs,Transportation and Infrastructure,,
Arizona,5th,"Biggs, Andy",R,252 CHOB,(202) 225-2635,Oversight and Accountability,Judiciary,,
Arizona,6th,"Ciscomani, Juan",R,1429 LHOB,(202) 225-2542,Appropriations,Veterans' Affairs,,
Arizona,7th,"Grijalva, Raul",D,1203 LHOB,(202) 225-2435,Education and the Workforce,Natural Resources,,
Arizona,8th,"Lesko, Debbie",R,1214 LHOB,(202) 225-4576,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
Arizona,9th,"Gosar, Paul",R,2057 RHOB,(202) 225-2315,Oversight and Accountability,Natural Resources,,
Arkansas,1st,"Crawford, Eric",R,2422 RHOB,(202) 225-4076,Agriculture,Intelligence,Transportation and Infrastructure,"Science, Space, and Technology"
Arkansas,2nd,"Hill, J.",R,1533 LHOB,(202) 225-2506,Financial Services,Foreign Affairs,Intelligence,
Arkansas,3rd,"Womack, Steve",R,2412 RHOB,(202) 225-4301,Appropriations,,,
Arkansas,4th,"Westerman, Bruce",R,202 CHOB,(202) 225-3772,Natural Resources,Transportation and Infrastructure,,
California,1st,"LaMalfa, Doug",R,408 CHOB,(202) 225-3076,Agriculture,Natural Resources,Transportation and Infrastructure,
California,2nd,"Huffman, Jared",D,2445 RHOB,(202) 225-5161,Natural Resources,Transportation and Infrastructure,,
California,3rd,"Kiley, Kevin",R,1032 LHOB,(202) 225-2523,Education and the Workforce,Judiciary,,
California,4th,"Thompson, Mike",D,268 CHOB,(202) 225-3311,Ways and Means,,,
California,5th,"McClintock, Tom",R,2256 RHOB,(202) 225-2511,Budget,Natural Resources,Judiciary,
