senator,c1,c2,c3,c4,c5,c6,c7,c8
"Baldwin, Tammy",Committee on Appropriations,"Committee on Commerce, Science, and Transportation","Committee on Health, Education, Labor, and Pensions",,,,,
"Barrasso, John",Committee on Energy and Natural Resources,Committee on Finance,Committee on Foreign Relations,,,,,
"Bennet, Michael F.","Committee on Agriculture, Nutrition, and Forestry",Committee on Finance,Committee on Rules and Administration,Select Committee on Intelligence,,,,
"Blackburn, Marsha","Committee on Commerce, Science, and Transportation",Committee on Finance,Committee on the Judiciary,Committee on Veterans' Affairs,,,,
"Blumenthal, Richard",Commission on Security and Cooperation in Europe,Committee on Armed Services,Committee on Homeland Security and Governmental Affairs,Committee on the Judiciary,Committee on Veterans' Affairs,Special Committee on Aging,United States Senate Caucus on International Narcotics Control,
"Booker, Cory A.","Committee on Agriculture, Nutrition, and Forestry",Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Committee on the Judiciary,,,,
"Boozman, John",Commission on Security and Cooperation in Europe,"Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Environment and Public Works,Committee on Veterans' Affairs,,,
"Braun, Mike","Committee on Agriculture, Nutrition, and Forestry","Committee on Health, Education, Labor, and Pensions",Committee on the Budget,Special Committee on Aging,,,,
"Britt, Katie Boyd",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs",Committee on Rules and Administration,,,,,
"Brown, Sherrod","Committee on Agriculture, Nutrition, and Forestry","Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Veterans' Affairs,,,,
"Budd, Ted",Committee on Armed Services,"Committee on Commerce, Science, and Transportation","Committee on Health, Education, Labor, and Pensions",Committee on Small Business and Entrepreneurship,,,,
"Butler, Laphonza R.","Committee on Banking, Housing, and Urban Affairs",Committee on Homeland Security and Governmental Affairs,Committee on Rules and Administration,Committee on the Judiciary,,,,
"Cantwell, Maria","Committee on Commerce, Science, and Transportation",Committee on Energy and Natural Resources,Committee on Finance,Committee on Indian Affairs,Committee on Small Business and Entrepreneurship,Joint Committee on Taxation,,
"Capito, Shelley Moore",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,Committee on Rules and Administration,,,,
"Cardin, Benjamin L.",Commission on Security and Cooperation in Europe,Committee on Environment and Public Works,Committee on Finance,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,,,
"Carper, Thomas R.",Committee on Environment and Public Works,Committee on Finance,Committee on Homeland Security and Governmental Affairs,,,,,
"Casey, Robert P., Jr.",Committee on Finance,"Committee on Health, Education, Labor, and Pensions",Select Committee on Intelligence,Special Committee on Aging,,,,
"Cassidy, Bill",Committee on Energy and Natural Resources,Committee on Finance,"Committee on Health, Education, Labor, and Pensions",Committee on Veterans' Affairs,,,,
"Collins, Susan M.",Committee on Appropriations,"Committee on Health, Education, Labor, and Pensions",Select Committee on Intelligence,,,,,
"Coons, Christopher A.",Committee on Appropriations,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Committee on the Judiciary,Select Committee on Ethics,,,
"Cornyn, John",Committee on Finance,Committee on the Judiciary,Select Committee on Intelligence,United States Senate Caucus on International Narcotics Control,,,,
"Cortez Masto, Catherine","Committee on Banking, Housing, and Urban Affairs",Committee on Energy and Natural Resources,Committee on Finance,Committee on Indian Affairs,,,,
"Cotton, Tom",Committee on Armed Services,Committee on the Judiciary,Joint Economic Committee,Select Committee on Intelligence,,,,
"Cramer, Kevin",Committee on Armed Services,"Committee on Banking, Housing, and Urban Affairs",Committee on Environment and Public Works,Committee on Veterans' Affairs,,,,
"Crapo, Mike","Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on the Budget,Joint Committee on Taxation,,,,
"Cruz, Ted","Committee on Commerce, Science, and Transportation",Committee on Foreign Relations,Committee on Rules and Administration,Committee on the Judiciary,,,,
"Daines, Steve","Committee on Banking, Housing, and Urban Affairs",Committee on Energy and Natural Resources,Committee on Finance,Committee on Indian Affairs,,,,
"Duckworth, Tammy",Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,,,,
"Durbin, Richard J.","Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on the Judiciary,,,,,
"Ernst, Joni","Committee on Agriculture, Nutrition, and Forestry",Committee on Armed Services,Committee on Small Business and Entrepreneurship,,,,,
"Fetterman, John","Committee on Agriculture, Nutrition, and Forestry","Committee on Banking, Housing, and Urban Affairs",Committee on Environment and Public Works,Joint Economic Committee,Special Committee on Aging,,,
"Fischer, Deb","Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Rules and Administration,Joint Committee on Printing,Joint Committee on the Library,Select Committee on Ethics
